Machine,Workflow,TaskName,Estimator,Feature,SizeInput,Predicted,Real,Deviation
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Perfect,Realtime,203.0108642578125,167.0,167.0,0.0
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Lotaru-G,Realtime,5102.182312011719,1366.6541833738931,1196.0,0.1426874442925528
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Lotaru-G,Realtime,1729.362572669983,500.223015763963,606.0,0.17454947893735476
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Lotaru-G,Realtime,1729.362572669983,500.223015763963,534.0,0.06325277946823404
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Lotaru-G,Realtime,6639.323947906494,1761.524803595678,2609.0,0.3248275954021932
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Lotaru-G,Realtime,4590.344056129456,1235.1699500190296,1073.0,0.151136952487446
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Lotaru-G,Realtime,5613.892818450928,1498.105599647602,1993.0,0.2483163072515795
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Lotaru-G,Realtime,609.9719657897949,212.6669097504001,206.0,0.032363639565049
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Lotaru-G,Realtime,609.9719657897949,212.6669097504001,192.0,0.1076401549500005
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Lotaru-G,Realtime,609.9719657897949,212.6669097504001,218.0,0.02446371674128397
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Lotaru-G,Realtime,609.9719657897949,212.6669097504001,191.0,0.11343931806492195
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Lotaru-A,Realtime,5102.182312011719,1113.802527759714,1196.0,0.06872698347850005
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Lotaru-A,Realtime,1729.362572669983,407.67420623265497,606.0,0.3272702867447938
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Lotaru-A,Realtime,1729.362572669983,407.67420623265497,534.0,0.23656515686768734
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Lotaru-A,Realtime,6639.323947906494,1435.6161220775573,2609.0,0.44974468299058745
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Lotaru-A,Realtime,4590.344056129456,1006.6448625267603,1073.0,0.061840761857632494
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Lotaru-A,Realtime,5613.892818450928,1220.9334475669493,1993.0,0.38738913820022614
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Lotaru-A,Realtime,609.9719657897949,173.3203209213309,206.0,0.15863921882849075
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Lotaru-A,Realtime,609.9719657897949,173.3203209213309,192.0,0.09728999520140154
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Lotaru-A,Realtime,609.9719657897949,173.3203209213309,218.0,0.20495265632417017
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Lotaru-A,Realtime,609.9719657897949,173.3203209213309,191.0,0.09256376480978584
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,OnlineP,Realtime,5102.182312011719,1303.3407119561361,1196.0,0.08974975916064895
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,OnlineP,Realtime,1729.362572669983,562.0,606.0,0.07260726072607261
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,OnlineP,Realtime,1729.362572669983,562.0,534.0,0.052434456928838954
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,OnlineP,Realtime,6639.323947906494,1695.9999999999998,2609.0,0.3499425067075509
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,OnlineP,Realtime,4590.344056129456,1172.5928091896142,1073.0,0.09281715674707751
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,OnlineP,Realtime,5613.892818450928,1434.05598142187,1993.0,0.2804535968781385
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,OnlineP,Realtime,609.9719657897949,192.0,206.0,0.06796116504854369
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,OnlineP,Realtime,609.9719657897949,192.0,192.0,0.0
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,OnlineP,Realtime,609.9719657897949,192.0,218.0,0.11926605504587157
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,OnlineP,Realtime,609.9719657897949,192.0,191.0,0.005235602094240838
