tool_name,input_size,actual_memory_bytes,predicted_memory_bytes,total_allocated_bytes,method_name,wastage_mb,failed,exec_time_s,retry_penalty_time_s,num_retries,confidence,source
burrows-wheeler-aligner,3056,6151,6279,6279,FAMR_1,128,false,1374,0,0,0.9649043612662409,FAMR
burrows-wheeler-aligner,2546,6105,6118,6118,FAMR_1,13,false,1611,0,0,0.9973309034535223,FAMR
burrows-wheeler-aligner,2546,6103,6118,6118,FAMR_1,15,false,1619,0,0,0.9973309034535223,FAMR
burrows-wheeler-aligner,2546,6066,6118,6118,FAMR_1,52,false,998,0,0,0.9973309034535223,FAMR
burrows-wheeler-aligner,2546,6113,6118,6118,FAMR_1,5,false,1493,0,0,0.9973309034535223,FAMR
burrows-wheeler-aligner,3056,6081,6279,6279,FAMR_1,198,false,1202,0,0,0.9649043612662409,FAMR
burrows-wheeler-aligner,3056,6059,6279,6279,FAMR_1,220,false,1212,0,0,0.9649043612662409,FAMR
burrows-wheeler-aligner,2546,6057,6118,6118,FAMR_1,61,false,1080,0,0,0.9973309034535223,FAMR
burrows-wheeler-aligner,1730,6072,6102,6102,FAMR_1,30,false,996,0,0,0.9959083110624198,FAMR
burrows-wheeler-aligner,1475,6083,6094,6094,FAMR_1,11,false,806,0,0,0.9970876104078833,FAMR
burrows-wheeler-aligner,1730,6044,6102,6102,FAMR_1,58,false,675,0,0,0.9959083110624198,FAMR
burrows-wheeler-aligner,1730,6126,6102,12204,FAMR_1,6078,false,787,726,1,0.9959083110624198,FAMR
burrows-wheeler-aligner,1730,6085,6102,6102,FAMR_1,17,false,1028,0,0,0.9959083110624198,FAMR
burrows-wheeler-aligner,1730,6063,6102,6102,FAMR_1,39,false,701,0,0,0.9959083110624198,FAMR
burrows-wheeler-aligner,1730,6071,6102,6102,FAMR_1,31,false,720,0,0,0.9959083110624198,FAMR
burrows-wheeler-aligner,1475,6115,6094,12188,FAMR_1,6073,false,686,637,1,0.9970876104078833,FAMR
burrows-wheeler-aligner,1475,6079,6094,6094,FAMR_1,15,false,986,0,0,0.9970876104078833,FAMR
